Park,Full Park Name,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,totalVisitors2022,parkID,parkCode,Designation,Latitude,Longitude,entranceFee,entranceFeeDesc,State
Antietam NB,Antietam National Battlefield,1435.0,2771.0,6523.0,11837.0,13972.0,13411.0,13952.0,11854.0,13945.0,15181.0,7181.0,3557.0,115619.0,8415526C-C932-4236-A634-2D89DF718936,anti,National Battlefield,39.46763452,-77.73828017,20.00,Personal Vehicle/Family: $20.00 for three days,MD
Apostle Islands NL,Apostle Islands National Lakeshore,3943.0,4933.0,3956.0,4456.0,14980.0,36570.0,64711.0,61946.0,34720.0,19142.0,3128.0,2467.0,254952.0,D84122DD-1B0E-4D13-927C-5D6D2A0D200E,apis,National Lakeshore,46.96240467,-90.66045665,Free,,WI
Appomattox Court House NHP,Appomattox Court House National Historical Park,915.0,2351.0,5027.0,12360.0,9888.0,11437.0,10852.0,7764.0,8454.0,8029.0,4045.0,2361.0,83483.0,16CCCC56-1DC1-47D6-AE91-E939955BFC53,apco,National Historical Park,37.38022164,-78.79856982,Free,,VA
Arches NP,Arches National Park,40621.0,51568.0,141866.0,148996.0,172114.0,171859.0,158925.0,142790.0,158728.0,146986.0,83239.0,42960.0,1460652.0,36240051-018E-4915-B6EA-3F1A7F24FBE4,arch,National Park,38.72261844,-109.58636659999999,2.00,"From April 1 through October 31, 2023, visitors entering the park in a vehicle between 7 am and 4 pm will need to have already purchased a Timed Entry Ticket from Recreation.gov before reaching the park. One ticket is needed per vehicle. This fee is a Recreation.gov service charge, so it is not waived by any of the interagency passes.",UT
Arkansas Post NMEM,Arkansas Post National Memorial,1231.0,1243.0,2165.0,2258.0,3032.0,3418.0,1718.0,2468.0,1403.0,1665.0,1081.0,1109.0,22791.0,6876F4F4-9B8F-4648-89EA-C1BBF770C494,arpo,National Memorial,34.00389998,-91.30837178,Free,,AR
Arlington House The R.E. Lee MEM,Arlington House The R.E. Lee Memorial,794.0,3864.0,26514.0,41264.0,41217.0,51784.0,36444.0,26578.0,21456.0,29085.0,16738.0,10948.0,306686.0,,,,,,,,
Assateague Island NS,Assateague Island National Seashore,42200.0,62687.0,84553.0,166058.0,199396.0,329823.0,476388.0,429913.0,260634.0,144353.0,93368.0,50896.0,2340269.0,307BE169-345D-472C-8128-20F1D59864A7,asis,National Seashore,38.05593172,-75.24524611,25.00,Assateague 7 day vehicle pass.,"MD,VA"
Aztec Ruins NM,Aztec Ruins National Monument,1976.0,2215.0,3738.0,5447.0,6897.0,7138.0,5945.0,3576.0,4259.0,4326.0,2230.0,2649.0,50396.0,CD54150B-24F6-4B96-8D6F-B23AF92A70F2,azru,National Monument,36.83682216,-107.9999245,Free,,NM
Badlands NP,Badlands National Park,12671.0,12866.0,25276.0,34943.0,98542.0,204969.0,224054.0,184816.0,121571.0,61115.0,19720.0,6266.0,1006809.0,B170CCF7-7AB9-48FF-950E-31815FD4DBB2,badl,National Park,43.68584846,-102.48294200000001,30.00,Fee covers the entry of a private vehicle and its occupants for 7 days,SD
Bandelier NM,Bandelier National Monument,7059.0,8822.0,29101.0,30063.0,6678.0,16832.0,24394.0,17597.0,20363.0,23178.0,14290.0,12564.0,210941.0,E28CA30C-2D81-4394-81E9-67677C412115,band,National Monument,35.77898596,-106.3317124,25.00,"Pass covers all persons traveling in a single, private, non-commercial vehicle (car, truck, camper, or van up to 15 passengers). Auto passes are non-transferable and not replaced if lost or stolen.  Entrance passes do not cover camping fees.",NM
Bent's Old Fort NHS,Bent's Old Fort National Historic Site,315.0,411.0,1281.0,2000.0,4223.0,3571.0,4336.0,2639.0,3475.0,1659.0,1406.0,741.0,26057.0,87F9EFC7-1951-4250-A367-644EC5C4E6A2,beol,National Historic Site,38.03977546,-103.4266499,10.00,$10.00 per person - Adults (age 16 and older),CO
Bering Land Bridge NPRES,Bering Land Bridge National Preserve,260.0,127.0,292.0,216.0,172.0,148.0,438.0,156.0,61.0,422.0,182.0,168.0,2642.0,EE1F4878-00FB-4760-A77F-EA76DB8DEFD9,bela,National Preserve,65.96087902,-164.40864319999997,Free,,AK
Big Bend NP,Big Bend National Park,46768.0,47229.0,85414.0,59337.0,40722.0,22385.0,19117.0,14915.0,23710.0,45546.0,57158.0,51806.0,514107.0,C9056F71-7162-4208-8AE9-2D0AEFA594FD,bibe,National Park,29.29817767,-103.2297897,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less); valid for 7 days.",TX
Big Cypress NPRES,Big Cypress National Preserve,357457.0,366346.0,374656.0,271226.0,204206.0,193026.0,185896.0,173367.0,147270.0,153852.0,202975.0,272882.0,2903159.0,E0F4D5E3-3E4A-4345-B86A-1B0CAD7461F1,bicy,National Preserve,25.97079602,-81.08120629,Free,,FL
Big Hole NB,Big Hole National Battlefield,591.0,735.0,799.0,1061.0,4508.0,10787.0,11388.0,8847.0,7719.0,7914.0,280.0,152.0,54781.0,3262234F-A56A-447D-AE6C-F5C734ABD3A4,biho,National Battlefield,45.64647324,-113.6458443,Free,,MT
Big South Fork NRRA,Big South Fork National River,29466.0,42167.0,63779.0,80793.0,76874.0,94857.0,70634.0,66839.0,76449.0,91465.0,53721.0,50682.0,797726.0,,,,,,,,
Big Thicket NPRES,Big Thicket National Preserve,17583.0,18418.0,25045.0,21932.0,26854.0,23059.0,23590.0,24353.0,24009.0,23641.0,23078.0,25226.0,276788.0,3AA12AD8-4FEB-491D-AEB2-CC0F74CD00E0,bith,National Preserve,30.457983431,-94.386742115,Free,,TX
Bighorn Canyon NRA,Bighorn Canyon National Recreation Area,6330.0,5187.0,6877.0,15105.0,20578.0,29504.0,53259.0,40689.0,23369.0,8300.0,4877.0,3585.0,217660.0,7568A0D8-73B1-44E6-82C7-E10BA1872209,bica,National Recreation Area,45.13154227,-108.1443943,Free,,"MT,WY"
Biscayne NP,Biscayne National Park,55096.0,62829.0,64243.0,63574.0,70048.0,54233.0,68066.0,52652.0,45857.0,44757.0,54538.0,65130.0,701023.0,FBF9F793-5114-4B61-A5BA-6F9ADDFDF459,bisc,National Park,25.490586999999998,-80.21023851,Free,,FL
Black Canyon of the Gunnison NP,Black Canyon of the Gunnison National Park,7260.0,6088.0,9127.0,13755.0,30145.0,31658.0,50608.0,50031.0,42758.0,23413.0,17257.0,15157.0,297257.0,,,,,,,,
Blue Ridge PKWY,Blue Ridge National Parkway,261756.0,525156.0,782472.0,1114958.0,1453953.0,1798134.0,1852622.0,1817216.0,1939023.0,2179741.0,1226511.0,759462.0,15711004.0,,,,,,,,
Booker T. Washington NM,Booker T. Washington National Monument,829.0,761.0,1313.0,2069.0,2285.0,2340.0,2519.0,2454.0,1222.0,2245.0,1287.0,1072.0,20396.0,,,,,,,,
Boston African American NHS,Boston African American National Historic Site,787.0,1158.0,4098.0,6120.0,38032.0,100146.0,92841.0,84277.0,34623.0,15881.0,7317.0,5485.0,390765.0,87F00684-8E1F-4E12-B463-2B5B929A0C74,boaf,National Historic Site,42.35908295,-71.06764181,Free,,MA
Boston NHP,Boston National Historical Park,24889.0,38737.0,82891.0,154278.0,167603.0,266262.0,350959.0,276301.0,253262.0,285501.0,129846.0,92717.0,2123246.0,81F81EBD-0FE7-4811-88EF-AB071E737D97,bost,National Historical Park,42.36957407,-71.05536763,Free,,MA
Brown v. Board of Education NHP,Brown v. Board of Education National Historical Park,264.0,613.0,1308.0,1390.0,1524.0,2617.0,2285.0,1324.0,1069.0,1327.0,1101.0,742.0,15564.0,E2F59F29-1F3A-43B9-A361-7E74E5FDDEB1,brvb,National Historical Park,39.03787665,-95.67614437,Free,,KS
Bryce Canyon NP,Bryce Canyon National Park,30960.0,35611.0,101308.0,236812.0,299919.0,330108.0,318861.0,308545.0,336588.0,233647.0,75378.0,46923.0,2354660.0,6B1D053D-714F-46D1-B410-04BE868F14C1,brca,National Park,37.58399144,-112.1826689,35.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all occupants.",UT
Buck Island Reef NM,Buck Island Reef National Monument,3792.0,4031.0,5730.0,4896.0,4042.0,5022.0,3885.0,3432.0,1737.0,2457.0,2816.0,3525.0,45365.0,1172F473-8129-42CA-9A47-C9D0AC5CAF66,buis,National Monument,17.81026717,-64.6222179,Free,,VI
Buffalo NR,Buffalo National River,33465.0,29398.0,88549.0,93086.0,165318.0,247639.0,220598.0,134430.0,94025.0,108175.0,61959.0,30290.0,1306932.0,DBD2FCBF-D0DD-4262-A04E-93090888F0F5,buff,National River,36.04116481,-92.90761584,Free,,AR
Cabrillo NM,Cabrillo National Monument,68589.0,63019.0,67546.0,63833.0,61847.0,65354.0,80622.0,63474.0,52568.0,52312.0,56916.0,71996.0,768076.0,2DB09FB7-0408-44C9-8083-8F50039BD6DA,cabr,National Monument,32.6722503,-117.24159850000001,20.00,"Admits one single, private, non-commercial vehicle and all its passengers.",CA
Camp Nelson NM,Camp Nelson National Monument,252.0,454.0,630.0,1533.0,1941.0,2676.0,2088.0,1686.0,1611.0,1704.0,866.0,776.0,16217.0,2FB7A664-0F66-49A3-9460-194F4073BA3F,cane,National Monument,37.7970179913,-84.598168306,Free,,KY
Canaveral NS,Canaveral National Seashore,151584.0,187363.0,242357.0,203907.0,223204.0,204447.0,233352.0,190068.0,159502.0,169750.0,91349.0,65192.0,2122075.0,FFD294C0-8027-42EC-B395-9C3BF2B80F49,cana,National Seashore,28.78637529,-80.75419576,Free,,FL
Cane River Creole NHP,Cane River Creole National Historical Park,778.0,887.0,1771.0,1879.0,1413.0,1258.0,1253.0,751.0,1044.0,1399.0,1160.0,1218.0,14811.0,55ABA58B-B19E-4851-BDE1-1C0712B2BE2C,cari,National Historical Park,31.65408447,-93.00131977,Free,,LA
Canyon de Chelly NM,Canyon de Chelly National Monument,14409.0,18347.0,33602.0,33408.0,37711.0,40685.0,29905.0,41807.0,30291.0,35924.0,18562.0,20321.0,354972.0,869BAD2B-C46F-4FEB-891B-EBA119B64B48,cach,National Monument,36.14319567,-109.33883030000001,Free,,AZ
Canyonlands NP,Canyonlands National Park,15184.0,19077.0,77834.0,99206.0,114926.0,87086.0,67640.0,63092.0,86326.0,91788.0,40745.0,16243.0,779147.0,319E07D8-E176-41F8-98A9-1E3F8099D0AB,cany,National Park,38.24555783,-109.8801624,30.00,"Admits one private, non-commercial vehicle (15 passenger capacity or less) and all its occupants.",UT
Cape Cod NS,Cape Cod National Seashore,114232.0,157612.0,192170.0,256095.0,305843.0,446334.0,643809.0,665588.0,470998.0,366049.0,189436.0,160506.0,3968672.0,DE0A8012-5324-4F5C-98DA-0EE6589FDFB3,caco,National Seashore,41.92381465,-70.04319832,25.00,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans.",MA
Cape Hatteras NS,Cape Hatteras National Seashore,65346.0,69534.0,147652.0,211064.0,269958.0,424206.0,443905.0,412239.0,358962.0,230135.0,146133.0,83710.0,2862844.0,7B9F59AE-D223-4A99-B6DF-A418D876DD82,caha,National Seashore,35.41370839,-75.65061112,Free,,NC
Cape Krusenstern NM,Cape Krusenstern National Monument,1098.0,835.0,689.0,780.0,924.0,1551.0,1889.0,1940.0,1550.0,1748.0,2595.0,1804.0,17403.0,77566B98-D9CC-40FB-AA6E-FAA0F56E2059,cakr,National Monument,67.41499986,-163.50377859999998,Free,,AK
Cape Lookout NS,Cape Lookout National Seashore,17645.0,12296.0,24968.0,48607.0,49231.0,76779.0,70956.0,74686.0,63551.0,43607.0,28828.0,30379.0,541533.0,3BA4ACE6-0FFE-4B56-8C07-B3F05DC304DB,calo,National Seashore,34.8267961,-76.34319082,Free,,NC
Capitol Reef NP,Capitol Reef National Park,20089.0,25859.0,90092.0,128061.0,221889.0,165870.0,107562.0,118927.0,130243.0,140119.0,57972.0,20925.0,1227608.0,2F05E2B8-CDA3-434E-9C4C-C7DD828CAC3B,care,National Park,38.2821653131,-111.24704837799999,20.00,An entrance fee is charged per vehicle for the Scenic Drive.,UT
Capulin Volcano NM,Capulin Volcano National Monument,2271.0,2029.0,6503.0,4452.0,8185.0,14153.0,19866.0,9363.0,7798.0,6175.0,3439.0,4307.0,88541.0,93BB79F9-D700-4202-B21C-B2354617A729,cavo,National Monument,36.78171096,-103.9710427,20.00,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Capulin Volcano National Monument. The maximum size of a vehicle allowed on the Volcano Road is 26 feet in length and/or 8 feet in width. Passes may be upgraded to annual passes within 7 days of purchase.",NM
Carl Sandburg Home NHS,Carl Sandburg Home National Historic Site,2148.0,5261.0,13521.0,9955.0,8308.0,9566.0,7842.0,5969.0,4337.0,5048.0,3584.0,3584.0,79123.0,6E9B2F16-4CFE-49B2-A95E-87E4F02E79FF,carl,National Historic Site,35.26815509,-82.45106258,Free,,NC
Carlsbad Caverns NP,Carlsbad Caverns National Park,20549.0,21887.0,48021.0,37869.0,34898.0,45193.0,51525.0,24177.0,23494.0,32267.0,23257.0,27795.0,390932.0,6FDE39B1-AB4A-4C9A-A5CD-4AF67601CD78,cave,National Park,32.14089463,-104.5529688,1.00,A entrance time reservation must be purchased to enter Carlsbad Cavern. Time entry ensures a more enjoyable experience and helps to protect the cave formations.,NM
Casa Grande Ruins NM,Casa Grande Ruins National Monument,6511.0,8502.0,10823.0,5934.0,4851.0,4211.0,4423.0,3609.0,5022.0,6699.0,8724.0,9248.0,78557.0,FF6B2CDF-10F5-4A7F-9437-74C1E7104C65,cagr,National Monument,32.99702582,-111.53253829999998,Free,,AZ
Castillo de San Marcos NM,Castillo de San Marcos National Monument,45244.0,42814.0,63932.0,57107.0,48872.0,58754.0,68857.0,44802.0,36393.0,43844.0,45890.0,68332.0,624841.0,E455313B-782A-4CDC-A6A5-8B506FA3A4C1,casa,National Monument,29.89785701,-81.31217173,Free,,FL
Castle Clinton NM,Castle Clinton National Monument,101419.0,117759.0,210492.0,312360.0,366200.0,366200.0,459099.0,417645.0,288319.0,319653.0,236759.0,275756.0,3471661.0,061F7BA2-8C57-4471-A31E-302AD99E3F6A,cacl,National Monument,40.70347795,-74.01680558,Free,,NY
Catoctin Mountain Park,Catoctin Mountain Park,29554.0,45077.0,24803.0,47357.0,38775.0,51177.0,24455.0,55845.0,28715.0,52403.0,32268.0,19893.0,450322.0,2977669B-4B2E-4044-B2CC-701D9521E4AC,cato,Park,39.65068457,-77.46417665,Free,,MD
Cedar Breaks NM,Cedar Breaks National Monument,18001.0,14001.0,14589.0,22290.0,62564.0,98883.0,135477.0,92674.0,101428.0,87041.0,22903.0,18793.0,688644.0,DFC1B0DB-832E-4C21-9CB9-79FB726B97D5,cebr,National Monument,37.63545562,-112.84526799999999,10.00,"This fee is for visitors, age 16 or older and is valid for 7 days from the time of purchase.",UT
Cesar E. Chavez NM,Cesar E. Chavez National Monument,611.0,925.0,1325.0,1242.0,1320.0,1091.0,1209.0,778.0,855.0,935.0,608.0,686.0,11585.0,,,,,,,,
Chaco Culture NHP,Chaco Culture National Historical Park,982.0,1347.0,4697.0,5782.0,5805.0,3985.0,2899.0,2081.0,4951.0,5301.0,2370.0,1394.0,41594.0,9C730246-CCB2-496F-AD0E-1D31D76C4C45,chcu,National Historical Park,36.03963414,-107.95600759999999,25.00,"This fee allows all persons traveling in one private, non-commercial vehicle (car/truck/van) to enter the park to visit for up to 7 days from the date of purchase.",NM
Chamizal NMEM,Chamizal National Memorial,0.0,934.0,762.0,1772.0,738.0,638.0,278.0,3520.0,2644.0,4135.0,1760.0,492.0,17673.0,EA328EBD-71CC-49B9-8F64-97C8A188BCA4,cham,National Memorial,31.76729634,-106.4544011,Free,,TX
Channel Islands NP,Channel Islands National Park,16968.0,21175.0,25048.0,30769.0,23636.0,30138.0,37853.0,33844.0,31120.0,27647.0,27468.0,17579.0,323245.0,5595FC7A-F218-4439-8D2E-F47449838820,chis,National Park,33.98680093,-119.91127350000001,Free,,CA
Charles Pinckney NHS,Charles Pinckney National Historic Site,591.0,977.0,1120.0,1228.0,1131.0,1134.0,667.0,788.0,1787.0,834.0,694.0,1634.0,12585.0,08EFF7E4-0FE4-4402-B23A-124EB8AAC249,chpi,National Historic Site,32.84577392,-79.82487582,Free,,SC
Charles Young Buffalo Soldiers NM,Charles Young Buffalo Soldiers National Monument,175.0,240.0,268.0,291.0,262.0,327.0,438.0,431.0,401.0,241.0,311.0,133.0,3518.0,22177869-21C7-49A1-961C-3F2114F01007,chyo,National Monument,39.70817829,-83.89328575,Free,,OH
Chattahoochee River NRA,Chattahoochee River National Recreation Area,227042.0,233931.0,282208.0,311301.0,359759.0,377837.0,342567.0,347967.0,312764.0,279372.0,273395.0,189705.0,3537848.0,021F297B-D672-4794-8C5E-BB58743F252A,chat,National Recreation Area,33.99698333,-84.28953177,Free,,GA
Chesapeake & Ohio Canal NHP,Chesapeake & Ohio Canal National Historical Park,209068.0,237858.0,387464.0,444134.0,428772.0,417863.0,405490.0,382061.0,407940.0,368091.0,327376.0,270068.0,4286185.0,9192FFEE-4D88-4A03-A054-F47C33F0C3E9,choh,National Historical Park,39.000283692,-77.24813995390001,20.00,"Pass is for one private, non-commercial vehicle — passenger cars, pickup trucks, RVs and vans — and is valid at the Great Falls area of the Chesapeake and Ohio Canal National Historical Park on the Maryland side of the Potomac River and Great Falls Park on the Virginia side of the Potomac River.","DC,MD,WV"
Chickamauga & Chattanooga NMP,Chickamauga & Chattanooga National Military Park,59671.0,65185.0,89852.0,92225.0,91215.0,92660.0,85989.0,75825.0,82873.0,83866.0,76196.0,68715.0,964272.0,FD536267-125D-4CEB-8978-2B2767C3B2FF,chch,National Military Park,34.94317623,-85.28749537,10.00,"Entrance fees only apply to Point Park, on Lookout Mountain. If you plan to visit Chickamauga Battlefield, parts of Lookout Mountain Battlefield, exclusive of Point Park, Missionary Ridge, Orchard Knob, Signal Point, or Moccasin Bend National Archeological District, entrance to the park areas is FREE.","GA,TN"
Chickasaw NRA,Chickasaw National Recreation Area,45093.0,57099.0,80214.0,75040.0,167500.0,237873.0,268256.0,227070.0,152244.0,62564.0,43985.0,38592.0,1455530.0,16809469-7649-4DFA-9C76-57F2B9946DDC,chic,National Recreation Area,34.46050507,-97.00715669,Free,,OK
Chiricahua NM,Chiricahua National Monument,4894.0,6130.0,10526.0,8157.0,5430.0,2765.0,2631.0,2308.0,3190.0,5484.0,4973.0,4889.0,61377.0,E98D419A-A118-49D5-89AF-3C4F9BE7372D,chir,National Monument,32.01214618,-109.34160700000001,Free,,AZ
Christiansted NHS,Christiansted National Historic Site,8143.0,8145.0,8225.0,8134.0,8152.0,7751.0,7724.0,7520.0,7635.0,7863.0,7968.0,9327.0,96587.0,A6290572-1871-4285-90F5-7C313FE2583E,chri,National Historic Site,17.73771903,-64.72906227,Free,,VI
City of Rocks NRES,City of Rocks National Reserve,1285.0,1327.0,2722.0,5914.0,12152.0,10891.0,11221.0,9883.0,12016.0,11871.0,3034.0,1680.0,83996.0,,,,,,,,
Colonial NHP,Colonial National Historical Park,132518.0,108854.0,273880.0,286326.0,295075.0,265837.0,278243.0,264914.0,250170.0,246443.0,186900.0,173113.0,2762273.0,1FC8F995-C4F2-4553-BDE4-BB43AAB12ED6,colo,National Historical Park,37.22824435,-76.61998123,15.00,Adult (16 and older) -$15; good for 7 days entrance to Yorktown Battlefield (and NPS areas at Historic Jamestowne); can be upgraded to see Preservation Virginia areas at Historic Jamestowne for an additional $15 at the Historic Jamestowne Visitor Center. Yorktown Battlefield will not be selling the $30 entrance permit for Historic Jamestowne.,VA
Colorado NM,Colorado National Monument,26657.0,26984.0,39487.0,45111.0,50354.0,50020.0,46565.0,46710.0,48970.0,43808.0,31872.0,23904.0,480442.0,EC5A2653-4470-46E7-8B57-30B8ADE46445,colm,National Monument,39.05045016,-108.6920709,25.00,"$25 for a private vehicle, this pass is good for 7 days.",CO
Congaree NP,Congaree National Park,11149.0,16124.0,24310.0,25618.0,24164.0,18903.0,12054.0,11645.0,14119.0,16994.0,15765.0,13677.0,204522.0,EEBA7225-7FF5-4B62-B60C-6BBC66351A4E,cong,National Park,33.79187523,-80.74867805,Free,,SC
Coronado NMEM,Coronado National Memorial,10418.0,11168.0,13255.0,11774.0,9818.0,10061.0,9473.0,10711.0,10944.0,9905.0,10835.0,12997.0,131359.0,6ED827FD-EA71-443E-83EE-9367FD14F940,coro,National Memorial,31.34900397,-110.2561574,Free,,AZ
Cowpens NB,Cowpens National Battlefield,15779.0,17579.0,18134.0,23293.0,19959.0,16897.0,19232.0,18774.0,17174.0,18570.0,14374.0,12769.0,212534.0,9F7919AF-7B0B-4FDB-98B7-9D0FB3B9E4F1,cowp,National Battlefield,35.13160654,-81.80935433,Free,,SC
Crater Lake NP,Crater Lake National Park,6752.0,9213.0,11933.0,14779.0,31822.0,70975.0,139513.0,107351.0,78967.0,39989.0,10481.0,5484.0,527259.0,7DC1050A-0DDE-4EF9-B777-3C9349BCC4DE,crla,National Park,42.94065854,-122.13384140000001,30.00,"This is the summer entrance fee and is charged from mid-May through the end of October.  Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Good for 7 days.",OR
Craters of the Moon NM & PRES,Craters of the Moon National Monument & Preserve,2387.0,4507.0,6541.0,12319.0,24415.0,47343.0,46357.0,31663.0,35110.0,19536.0,5782.0,1814.0,237774.0,,,,,,,,
Cumberland Gap NHP,Cumberland Gap National Historical Park,31769.0,38153.0,63456.0,56085.0,73585.0,71365.0,74654.0,77800.0,69709.0,83354.0,56529.0,36457.0,732916.0,F341E5A4-959B-4D87-B886-23A884633D33,cuga,National Historical Park,36.62503076,-83.6114083,Free,,"KY,TN,VA"
Cumberland Island NS,Cumberland Island National Seashore,3510.0,6395.0,7568.0,8158.0,6137.0,6392.0,5520.0,2980.0,3278.0,5442.0,4833.0,4174.0,64387.0,EF680908-DE76-4336-BD51-F33BEB09B4D7,cuis,National Seashore,30.85857484,-81.45253575,15.00,Cumberland Island National Seashore has a per-person entrance fee. This fee is waived for America the Beautiful pass holder plus three adults. Must present pass at time of check-in.,GA
Curecanti NRA,Curecanti National Recreation Area,14450.0,25714.0,25226.0,32113.0,126716.0,188701.0,247012.0,110968.0,98270.0,72474.0,35663.0,15442.0,992749.0,80E30980-1B26-4AE7-A039-FA7D8D119070,cure,National Recreation Area,38.46584558,-107.33033710000001,Free,,CO
Cuyahoga Valley NP,Cuyahoga Valley National Park,98868.0,110513.0,174226.0,233050.0,325101.0,336744.0,375656.0,341220.0,327857.0,318589.0,161940.0,109548.0,2913312.0,F4D44F29-3F67-498F-B05B-0783473D2708,cuva,National Park,41.26093905,-81.57116722,Free,,OH
Dayton Aviation Heritage NHP,Dayton Aviation Heritage National Historical Park,1038.0,1420.0,3850.0,6689.0,11940.0,8676.0,9036.0,6807.0,6422.0,6435.0,6764.0,12226.0,81303.0,C62B89CF-F912-46F4-878C-8EEBD843CEC6,daav,National Historical Park,39.78944467,-84.10442045,Free,,OH
De Soto NMEM,De Soto National Memorial,9170.0,14479.0,17803.0,18237.0,17086.0,17738.0,10311.0,12841.0,11538.0,14131.0,16795.0,13021.0,173150.0,C40BEE20-AF31-4DB5-AC77-D53EC89D1D9F,deso,National Memorial,27.52272613,-82.64335416,Free,,FL
Death Valley NP,Death Valley National Park,92212.0,124091.0,182052.0,108984.0,92601.0,84768.0,84575.0,48242.0,54672.0,53764.0,93445.0,109456.0,1128862.0,FFC9F9C4-D79D-4CA7-AB0F-7A2AD30061CD,deva,National Park,36.48753731,-117.134395,30.00,"This permit allows all persons traveling with the permit holder in one single private, non-commercial vehicle (car/truck/van) to leave and re-enter the park as many times as they wish during the 7-day period from the date of purchase.","CA,NV"
Delaware Water Gap NRA,Delaware Water Gap National Recreation Area,202308.0,224352.0,221375.0,312188.0,416042.0,443974.0,640793.0,579731.0,518829.0,361253.0,280369.0,179011.0,4380225.0,ECCA243E-109D-4D73-8546-B0A2553DD9E5,dewa,National Recreation Area,41.12793491,-74.94751173,10.00,Entrance fee for beaches and boat launches. Fee is good for one vehicle and it's passengers (up to 7 people).,"NJ,PA"
